,ts,x,y,z,i,j,k,w
132,132,-0.0008235205586725763,0.0008582819266390084,0.1942135830538508,0.002041446219243879,-4.872990575883143e-06,-0.00037072463508432384,0.9999978475161
133,133,-0.0008235056472092214,0.0008583286556721757,0.194213586697459,0.002041469583093916,-4.8361531953122385e-06,-0.0003707649945309156,0.9999978474536192
134,134,-0.0008234903273547574,0.0008583760099582304,0.1942135898896465,0.002041491414114646,-4.798025585699537e-06,-0.00037080454981308826,0.9999978473945688
135,135,-0.0008234746303652308,0.0008584239384704528,0.19421359267175609,0.0020415118390991046,-4.7587119294439175e-06,-0.0003708433576882817,0.9999978473386678
136,136,-0.0008234485834609914,0.0008584619819013093,0.1942136383374545,0.0020411210449382666,-4.95396804478053e-06,-0.00037078230893531716,0.9999978481580936
137,137,-0.0008235489869980561,0.0008587284468605821,0.1942137338360828,0.0020408747316582234,-5.214338483062992e-06,-0.00037050092901103483,0.9999978487637872
138,138,-0.0008235624595009593,0.000858867500760907,0.1942137572427701,0.002040918737688716,-5.2498441127859865e-06,-0.0003702977346408165,0.9999978487490524
139,139,-0.0008235615077376883,0.00085900469950166,0.1942137709947849,0.002040938554011473,-5.249468597466414e-06,-0.00037013569667198974,0.9999978487685999
140,140,-0.0008235548309662339,0.000859136126727775,0.1942137806636258,0.0020409490859219135,-5.23441041646545e-06,-0.0003699996304093837,0.9999978487975376
141,141,-0.0008235454768333895,0.0008592606343119798,0.1942137882889925,0.0020409564009933752,-5.212290049721476e-06,-0.0003698828666496351,0.9999978488259194
142,142,-0.0008235346331227964,0.0008593783020200918,0.19421379468594074,0.002040962657136964,-5.186103817876253e-06,-0.0003697819524815773,0.9999978488506084
143,143,-0.0008235227855965048,0.0008594895923226635,0.1942138002024838,0.0020409686285143345,-5.157096181523252e-06,-0.000369694725835672,0.999997848870822
144,144,-0.0008235101551596226,0.0008595950657140595,0.19421380500888316,0.0020409745802321875,-5.125848719338755e-06,-0.0003696195919451324,0.9999978488866093
145,145,-0.0008234968606248745,0.0008596952798714064,0.19421380920551176,0.0020409805914522435,-5.092685718459923e-06,-0.0003695552460579813,0.9999978488982914
146,146,-0.0008234829794539745,0.0008597907561756857,0.19421381286323872,0.0020409866749375198,-5.0578257121167366e-06,-0.00036950056259578857,0.9999978489062592
147,147,-0.0008234685706180144,0.0008598819708438423,0.19421381603875854,0.002040992821077213,-5.021438672361374e-06,-0.00036945454685330213,0.9999978489109
148,148,-0.0008234536833783372,0.0008599693548312022,0.19421381878058772,0.0020409990139387984,-4.983668121479099e-06,-0.0003694163106197264,0.9999978489125751
149,149,-0.0008234383608105391,0.0008600532966663603,0.19421382113157326,0.002041005236975684,-4.944640129765277e-06,-0.0003693850573206346,0.9999978489116128
150,150,-0.0008234226413589206,0.0008601341460803771,0.1942138231300731,0.0020410114749384108,-4.9044673881507965e-06,-0.00036936007127532906,0.999997848908308
151,151,-0.0008234065596353112,0.0008602122176801682,0.1942138248106288,0.00204101771437955,-4.8632513791877165e-06,-0.0003693407090027481,0.999997848902926
152,152,-0.0008233901469116213,0.0008602877943932246,0.1942138262044185,0.00204102394368827,-4.821083767281331e-06,-0.0003693263917636254,0.9999978488957038
153,153,-0.0008233734314890071,0.0008603611306308893,0.1942138273396153,0.002041030152936161,-4.778047466119221e-06,-0.0003693165989825128,0.9999978488868536
154,154,-0.0008233564389937482,0.0008604324551446808,0.19421382824168715,0.002041036333705071,-4.734217508306688e-06,-0.0003693108623820171,0.9999978488765656
155,155,-0.000823339192638928,0.000860501973610627,0.1942138289336636,0.0020410424788942674,-4.689661817231979e-06,-0.0003693087607198721,0.9999978488650092
156,156,-0.0008233217134552211,0.0008605698709487231,0.19421382943636906,0.0020410485825613912,-4.6444418900621875e-06,-0.00036930991506462765,0.999997848852336
157,157,-0.0008233040204948383,0.0008606363134153433,0.19421382976863874,0.0020410546397665,-4.598613402707386e-06,-0.00036931398454487533,0.9999978488386818
158,158,-0.000823286131022405,0.000860701450486359,0.1942138299475081,0.002041060646431037,-4.552226773621188e-06,-0.00036932066252864633,0.9999978488241678
159,159,-0.0008232680606817374,0.0008607654165451843,0.1942138299883864,0.002041066599228475,-4.505327658015384e-06,-0.0003693296731836813,0.9999978488089022
